dwarka is also a dhaam among the chaar dhaams                                                                                                                                                                                                                	द्वारका चार धामों में एक धाम भी है
the description of garh mukteshwar is found in the shiva purana	गढ़ मुक्तेश्वर का वर्णन शिव पुराण में मिलता है
a yajna was conducted from the eleventh day to the fourteenth day of the fortnight in garh mukteshwar for the peace of the souls killed in the war of the mahabharata	एकादशी से चतुर्दशी तक गढ़ मुक्तेश्वर में महाभारत युद्ध में मारे गए सभी लोगों की आत्मा की शांति के लिए यज्ञ किया गया
on the evening of the fourteenth day after the end of the yajna tributes were offered to those souls by offering earthen lamps in the ganges	चतुर्दशी की संध्या को यज्ञ की समाप्ति पर उन आत्माओं को गंगा में दीप दान कर श्रद्धांजलि अर्पित की गई
next day on the full moon morning having bathed in the ganges all offered prayers and religious stories	अगले दिन प्रात पूर्णमासी को सभी ने गंगा स्नान कर पूजाअर्चना कथा आदि की
every year devotees in lacs of numbers come to garh mukteshwar to take a bath in the blemishdestroyer sinpurgator ganges and to offer earthen lamps for the peace of the souls of their kins	प्रत्येक वर्ष लाखों की संख्या में श्रद्धालु गढ़ मुक्तेश्वर कार्तिक पूर्णिमा पर कलुष विनाशनी पापहरिणी गंगा में स्नान करने और अपने स्वजनों की आत्मा की शांति के लिए यहाँ दीप दान करने आते हैं
innumerous people offer earthen lamps in the ganges as tribute to their kins on the evening of the fourteenth day of the fortnight	चतुर्दशी की शाम को असंख्य लोग अपने स्वजनों को श्रद्धांजलि देने के लिए गंगा में दीप दान करते हैं
during that time lamps flowing with the stream of the ganges appear very peace giving and charming	उस वक्त गंगा की धारा के साथ बहते दीपों का दृश्य बड़ा ही शांतिदायक और मनोहारी प्रतीत होता है
there are several places of religious importance in garh mukteshwar such as nahush well the temple of the mukteshwar mahadev the badrinath templeh	गढ़ मुक्तेश्वर में धार्मिक महत्व की कई जगहें हैं जैसे नहुषकूप नक्का कुआँ मुक्तेश्वर महादेव का मंदिर बद्रीनाथ मंदिर आदि
custom is that the badrinath temple is opened during the prayer time only	प्रथा है कि बद्रीनाथ मंदिर को केवल आरती के समय ही खोला जाता है
this temple is opened only once in a year for the whole day during the birth anniversary of parashuram on akshaya tritiya	यह मंदिर साल में केवल एक बार अक्षय तृतीया को परशुराम जयंती पर दिन भर दर्शनार्थियों के लिए खोला जाता है
there is a sand filled field in front of the mukteshwar mahadev temple which is known as meerabai ki reti	मुक्तेश्वर महादेव मंदिर के सामने विशाल रेतीला मैदान है उसे मीराबाई की रेती के नाम से जाना जाता है
it is believed that meerabai had come to bathe here once	ऐसी मान्यता है कि एक बार मीराबाई यहाँ गंगा स्नान के लिए आई थीं
it is said that once parvatiji asked a question to shankarji	कहते हैं कि एक बार पार्वती जी ने शंकर जी से प्रश्न किया
lord advise a solution and place by which a living being gets relieved from several ills and sins	प्रभु ऐसा कोई उपाय और स्थान बताएँ जिससे संसार में अनेक व्याधियों और पापों से त्रस्त जीव को मुक्ति मिले
what should they do so that they get your affection	वे ऐसा क्या कर्म करें जिससे उन्हें आपका स्नेह मिले
on this shankarji said that o devi all the pilgrimages give the fruits of meritorious actions in the satayuga treta in pushkar in dwapar kurukshetra pilgrimage gives the fruits of meritorious actions and in kalikala achievements of the fruits of meritorious actions is only through the ganga bath	इस पर शंकर जी कहा कि हे देवी सतयुग में सभी तीर्थ पुण्य का फल देते हैं त्रेता में पुष्कर द्वापर में कुरुक्षेत्र तीर्थ पुण्य का फल देते हैं और कलिकाल में केवल गंगा स्नान से पुण्य फल की प्राप्ति है
there is a place called shiva ballabhpur on the banks of the ganges	गंगा तट पर शिव बल्लभपुर नामक एक स्थान है
shiva resides in the place called shiva ballabhpur	शिव बल्लभपुर नामक स्थान में शिव निवास करते हैं
shiva ballabhpur is very favorite to shivaji	शिव बल्लभपुर शिवजी को अति प्रिय है
shiva ballabhpur is located in the east direction of hastinapur in the country of aryavarta of jambudweep	शिव बल्लभपुर जम्बूद्वीप के आर्यावर्त देश में हस्तिनापुर की पूर्व दिशा में स्थित है
situated on the banks of the ganges shiva ballabhpur is satisfying to the deities sages and ancestors	गंगा तट पर बसा शिव बल्लभपुर देवों ऋषियों और पितरों को संतोष देने वाला है
shiva ballabhpur area is favorite to me like kashi	शिव बल्लभपुर क्षेत्र मुझे काशी के समान प्रिय है
the ganges temple in garh mukteshwar is built at a very great height	गढ़ मुक्तेश्वर में स्थित गंगा मंदिर काफी ऊँचाई पर बना हुआ है
besides the mother ganges temple there is also a statue of brahmaji installed in garh mukteshwar	गढ़ मुक्तेश्वर के गंगा मंदिर में गंगा मैया के अतिरिक्त ब्रह्मा जी की मूर्ति भी लगी हुई है
there is also such a stone in the ganges temple of garh mukteshwar looking closely at which the shape of lord shiva appears to be on it	गढ़ मुक्तेश्वर के गंगा मंदिर में एक ऐसा पत्थर भी है जिसे ध्यानपूर्वक देखने से उस पर भगवान शिव की आकृति का आभास होता है
at one time there used to be steps to reach the ganga temple of garh mukteshwar	गढ़ मुक्तेश्वर के गंगा मंदिर में पहुँचने के लिए कभी सीढ़ियाँ हुआ करती थीं
but now there are only steps left in the ganges temple of garh mukteshwar	किंतु गढ़ मुक्तेश्वर के गंगा मंदिर में अब सीढ़ियाँ ही बची हैं
it is said that till the ganges used to flow touching the steps of the ganges temple of garh mukteshwar	बताते हैं कि तक गंगा जी गढ़ मुक्तेश्वर के गंगा मंदिर की सीढ़ियों को छूते हुए बहती थीं
but gradually gangaji started leaving the place	लेकिन धीरेधीरे गंगा जी स्थान छोड़ती चली गईं
now the bank of the ganges is about kilometres away from this temple	अब गंगा का तट इस मंदिर से लगभग किलोमीटर दूर है
a fair is organized on the sandy fields of the banks of the ganges	गंगा तट के रेतीले मैदान में मेला लगता है
one whole city of tents gets settled on the banks during the fair	मेले के दौरान तट पर तंबुओं का एक पूरा नगर बस जाता है
the venue of the fair is about kilometres from delhi	मेला स्थल दिल्ली से लगभग किलोमीटर पड़ता है
one can easily reach the fair ground through car etcetera	मेला स्थल कार आदि से आराम से पहुँचा जा सकता है
earlier people had to go on foot to the fair venue in garh mukteshwar	गढ़ मुक्तेश्वर में पहले मेला स्थल तक लोगों को पैदल ही चलकर जाना पड़ता था
but now there are several ways of travel available	लेकिन अब यातायात के कई साधन उपलब्ध हैं
many people reach the fair venue by buggi tractor trollies cars and other resources	अनेक लोग भैंसा बुग्गी ट्रैक्टर ट्रॉलियों कार और अन्य साधनों से मेला स्थल तक पहुँचते हैं
it is estimated that every year about twenty lac people come to garh mukteshwar for holy bath in the ganges during the fair in garh mukteshwar	अनुमान है कि हर साल करीब बीस लाख लोग गढ़ मुक्तेश्वर मेले के दौरान गंगा स्नान करने आते हैं
most of the devotees coming to participate in the fair stay in the tents only	मेले में भाग लेने आए ज्यादातर श्रद्धालु लगाए गए टेंटों में ही ठहरते हैं
apart from the fair people coming during the general days stay in the dharamashalas built around the braj ghat	मेले के अलावा सामान्य दिनों में आने वाले लोग ब्रज घाट के आसपास बनी धर्मशालाओं में ठहरते हैं
as such food items are found in several shops here	यूँ तो यहाँ खानेपीने का सामान बहुत सी दुकानों में मिल जाता है
but devotees coming in the form of groups manage their food etcetera themselves	पर समूह के रूप में मेले में आने वाले श्रद्धालु अपने भोजन आदि की व्यवस्था स्वयं ही करते हैं
the fair organized on the eve of kartik poornima on the banks of the ganges in garh mukteshwar is one of the biggest fairs	कार्तिक पूर्णिमा के अवसर पर गढ़ मुक्तेश्वर में गंगा तट पर लगने वाला मेला विशालतम मेलों में से एक है
fair takes place on the banks of the ganges in an area of about kilometres	मेला गंगा के किनारे लगभग किलोमीटर के क्षेत्र में लगता है
this time the organization of fair is being done by dividing the fair venue into sectors	इस वर्ष मेले का आयोजन मेला स्थल को सेक्टरों में बाँट कर किया जा रहा है
for security reasons more police forces have been deployed in garh mukteshwar than earlier	सुरक्षा के लिहाज से गढ़ मुक्तेश्वर में पहले के मुकाबले पुलिस फोर्स ज्यादा लगाई गई है
close circuit tvs have also been installed at main places	प्रमुख स्थानों पर क्लोज सर्किट टीवी कैमरे भी लगाए गए हैं
several ghats have also been built for the bath in the ganges	गंगा स्नान के लिए अनेक घाट भी बनाए गए हैं
hastinapur has a historical importance	हस्तिनापुर का ऐतिहासिक महत्व है
jain community has special importance for all castes of north india	जैन जगत से उत्तर भारत वर्ष की सम्पूर्ण जातियों के लिए विशेष महत्व है
to go to hastinapur we considered it convenient go from the kashmiri gate bus terminus in delhi	हस्तिनापुर जाने के लिए हमने दिल्ली में कश्मीरी गेट बस अड्डे से जाना सुविधाजनक समझा
buses go continuously for meerut from kashmere gate	कश्मीरी गेट से लगातार मेरठ तक की बसें जाती हैं
then buses are found from meerut to hastinapur	फिर मेरठ से हस्तिनापुर की बसें मिल जाती हैं
the distance from delhi to hastinapur is about kilometres	दिल्ली से हस्तिनापुर की दूरी तकरीबन किलोमीटर है
hastinapur is also known by several other names in the scriptures such as gajpur nagpur asandhivat brahmasthal shantinagar kujarpur etc	हस्तिनापुर को शास्त्रों में अन्य कई नामों से भी जाना जाता है जैसे गजपुर नागपुर असंधिवत ब्रह्मास्थल शांतिनगर कुजारपुर आदि
in hastinapur shree adinath prabhu the first among the twenty four tirthankaras of jainism had ended his four hundred day fast by having juice of sugar cane from shreyansh kumar s hand	हस्तिनापुर में जैन धर्म के चौबीस तीर्थंकरों में सें सबसे पहले तीर्थंकर श्री आदिनाथ प्रभु ने अपने चार सौ दिनों के व्रत के पश्चात श्रेयंषकुमार के हाथों से गन्ने का रस ग्रहण कर अपने व्रत का समापन किया था
it was in hastinapur that twelve kalyanaks of shree shantinath prabhu kunthanath prabhu and shri arahanath prabhu occurred	हस्तिनापुर में ही श्री शांतिनाथ प्रभु कुंथनाथ प्रभु और श्री अरहनाथ प्रभु के बारह कल्याणक हुए
samosaran of bhagwan malliknath also took place in hastinapur	भगवान मल्लिनाथ का समवोशरन भी हस्तिनापुर में ही हुआ
it was in hastinapur that muni suvrat nath swami bhagwan parswanath and bhagwan mahavir swami preached in their divine voice	हस्तिनापुर में ही मुनि सुव्रत नाथ स्वामी भगवान पार्श्वनाथ और भगवान महावीर स्वामी ने अपनी दिव्य वाणी में प्रवचन दिए
the time of ablution and prayer in hastinapur is from oclock in the morning to oclock in the evening	हस्तिनापुर में प्रक्षाल और पूजाअर्चना का समय सुबह बजे से शाम बजे तक है
and the time to pray in digambar jain temple begins from seven oclock in the morning	और दिगम्बर जैन मंदिर में पूजा करने का समय सुबह सात बजे प्रारम्भ होता है
adinath bhagwan came to hastinapur four hundred days after initiation on the third light half month of baisakh	हस्तिनापुर में आदिनाथ भगवान दीक्षा लेने के सौ दिनों बाद वैशाख शुक्ल तृतीया के दिन आए थे
people from afar used to go to visit him	लोगबाग दूरदूर से उनके दर्शन के लिए जाते थे
when the prince shreyanshkumar came to know of this he remembered the tradition of his ancestors to abandon food and water	राजकुमार श्रेयंषकुमार को जब इस बात का ज्ञान हुआ तो उन्हें अपने पूर्वजों की अन्नजल त्यागने की प्रथा का स्मरण हो आया
prince shreyanshkumar urged adinatha prabhu to accept sugar cane juice for ending the fast which he accepted	राजकुमार श्रेयंषकुमार ने आदिनाथ प्रभु से व्रत के समापन के लिए इक्षु रस ग्रहण करने की प्रार्थना की जिसे उन्होंने स्वीकार किया
since then this day has started to be called as akshay tritiya	बाद में इस दिन को अक्षय तृतीया कहा जाने लगा
in hastinapur bhagwan made big kings follower of the jain religion with his preachings	हस्तिनापुर में भगवान ने अपने प्रवचनों से बड़े राजाओं को जैन धर्म का अनुयायी बनाया
out of the tirthankaras the th tirthankar shri sant suvrat swami rd tirthankar parsvanath bhagwan and the last tirthankar mahavir swami purified this place with their holy feet	तीर्थंकरो में से वें तीर्थंकर श्री मुनि सुव्रत स्वामी वें तीर्थंकर पार्श्वनाथ भगवान और अंतिम तीर्थंकर श्री महावीर स्वामी ने भी इस स्थान को अपने चरणों से पावन किया
there have been a total of supreme emperors in india	भारत में कुल चक्रवर्ती सम्राट हुए
the birth place of among the total of supreme emperors of india is hastinapur	भारत के कुल चक्रवर्ती सम्राट में से का जन्म स्थान हस्तिनापुर है
parashuram of the ramayana age was also born in hastinapur	रामायण काल के परशुराम भी हस्तिनापुर में पैदा हुए
hastinapur has been the capital of the kauravas and the pandavas	हस्तिनापुर कौरवों और पांडवों की राजधानी रह चुकी है
functions are organized on kartik full moonlight and third lighted fortnight of vaisakh in shwetambar jain temple and between kartik shukla to full moonlight in digambar jain temple	कार्तिक पूर्णिमा और वैशाख शुक्ल तृतीया को श्वेताम्बर जैन मंदिर में और कार्तिक शुक्ल से पूर्णिमा के बीच दिगम्बर जैन मंदिर में कार्यक्रम का आयोजन किया जाता है
bhagwan adinath had entrusted the states of podanpur and hastinapur to his son bahubali	भगवान आदिनाथ ने पोदनपुर और हस्तिनापुर राज्य अपने पुत्र बाहुबली को सौंप दिये थे
bahubali ruled podanpur	बाहुबली ने पोदनपुर पर शासन किया
while his son ruled hastinapur	जबकि उनके पुत्र सोमयश ने हस्तिनापुर पर
the younger brother of bahubali shreyansh kumar had performed the feet worship of adinath bhagwan	बाहुबली के छोटे भाई श्रेयंषकुमार ने आदिनाथ भगवान का चरणाभिषेक किया था
ratna stambha was built in the memory of shreyansh kumar	श्रेयंषकुमार की स्मृति में रत्न स्तम्भ बनवाया था
the charanpaduka of adinath bhagwan was also installed there	वहाँ पर आदिनाथ भगवान के चरणपादुका भी स्थापित किये थे
three pillars were also built in the memory of the four kalyanakas of shri shantinatha shri kunthanatha and arahanath bhagawana	श्री शांतिनाथ भगवान श्री कुंथनाथ भगवान और अरहनाथ भगवान के चार कल्याणक की स्मृति में भी यहाँ तीन स्तम्भ बनवाये गए
king shivraj adopted jainism after listening to the preachings of mahavir swami king shivraj built a pillar in hastinapur in the memory of mahavir swami	राजा शिवराज ने महावीर स्वामी के प्रवचन सुनकर जैन धर्म को अपनाया महावीर स्वामी की स्मृति में राजा शिवराज ने हस्तिनापुर में एक स्तम्भ बनवाया
a descendant of the emperor ashoka also got many jain temples made during his regime	सम्राट अशोक के एक वंशज ने भी अपने शासन काल के दौरान कई जैन मंदिर बनवाए
but with time those ancient pillars and temples have vanished	लेकिन समय के साथ वे प्राचीन स्तम्भ और मंदिर धीरेधीरे विलीन हो गए
this hastinapur nagar is present on the banks of the ganges	यह हस्तिनापुर नगर पवित्र गंगा के किनारे मौजूद है
management of dharamshala is also found for the stay of the people reaching hastinapur	हस्तिनापुर पहुँचे लोगों के ठहरने के लिए धर्मशाला का भी प्रबंध मिलता है
in shwetambar trust dharamshala there are rooms to stay with morning breakfast afternoon lunch and dinner at night	श्वेतांबर ट्रस्ट धर्मशाला में ठहरने के लिए कमरे और सुबह का नाश्ता दोपहर का लंच और रात के भोजन की व्यवस्था होती है
there are several other dharamashalas found easily in the same fashion	इसी प्रकार अन्य कईं धर्मशालाएँ आसानी से मिल जाती हैं
atishay kshetra tijarah one gets more than desired here	अतिशय क्षेत्र तिजारा इच्छा से ज्यादा मिलता है यहाँ
chandra prabhu digamber jain atishay kshetra dehratijara is situated in the alvar district of rajasthan	चंद्र प्रभु दिगंबर जैन अतिशय क्षेत्र देहरातिजारा राजस्थान के अलवर जिले में स्थित है
this is called atishay area	यह अतिशय क्षेत्र कहलाता है
the meaning of atishay is more than common	अतिशय का अर्थ है सामान्य से बहुत ज्यादा
that is such an area where something extraordinary occurs or some miracle happens	यानी ऐसा क्षेत्र जहाँ कुछ असाधारण घटित हो या कोई चमत्कार हो जाए
that is if something is demanded in general one gets more than that	यानी अगर साधारण तौर पर जो कुछ माँगा जाए उससे कहीं ज्यादा मिल जाए
you get so much that you get overwhelmed	इतना मिले कि आप सराबोर हो जाएँ
such is the belief of tijara area	ऐसी ही है तिजारा क्षेत्र की मान्यता
this atishay area of tijara let s say temple is situated at a distance of kilometres from alvar district and kilometers from delhi	तिजारा का यह अतिशय क्षेत्र या कहें कि मंदिर अलवर जिले से किलोमीटर और दिल्ली से किलोमीटर की दूरी पर स्थित है
the th tirthankar of the tirthankaras shree chandra prabhu bhagawan is worshipped in tijara atishay kshetra	तिजारा अतिशय क्षेत्र में तीर्थंकरों में से वें तीर्थंकर श्री चंद्र प्रभु भगवान की आराधना की जाती है
the extremely beautiful white statue of chandra prabhu bhagawan is installed in tijara atishay kshetra	तिजारा अतिशय क्षेत्र में चंद्र प्रभु भगवान की सफेद रंग की अत्यंत मनोहारी संगमरमर की मूर्ति स्थापित है
this marble statue had come out during the excavation conducted in this area on august	यह संगमरमर मूर्ति इस क्षेत्र में कराई गई खुदाई के दौरान अगस्त को निकली थी
it is said that saraswati devi the wife of a famous doctor bihari lal of tijara area had kept fast for three days	बताते हैं कि तिजारा क्षेत्र के एक मशहूर वैद्य बिहारी लाल की पत्नी सरस्वती देवी ने तीन दिन का उपवास रखा था
on the third day of the night of fast saraswati devi saw something unprecedented about a place near her house in dream	तीसरे दिन व्रत की रात को सरस्वती देवी को सपने में अपने घर के निकट स्थित एक स्थान के बारे में कुछ अद्भुत दिखाई दिया
next morning when that place was dug the grand statue of chandra prabhu bhagawan was found	अगली सुबह जब उस स्थान की खुदाई कराई गई वहाँ चंद्र प्रभु भगवान की भव्य मूर्ति प्राप्त हुई
when the statue was taken out after the excavation devotees meant this by it	खुदाई करने के पश्चात जिस समय मूर्ति निकाली गई श्रद्धालु जनों ने इसका अर्थ यह निकाला
having full joy of the nature in train while going to goa has a different fun	ट्रेन में प्रकृति का पूरा आनंद लेते हुए गोवा जाने का अलग ही मजा है
nature itself welcomed the statue with water and purified it	प्रकृति ने ही मूर्ति का जलाभिषेक करके उसे पवित्र कर दिया
several years after this incident another black color statue of chandra prabhu bhagawan in padmasan posture was found from the same place on march	इस घटना के कई वर्ष बाद उसी क्षेत्र से मार्च को चंद्र प्रभु भगवान की काले रंग की पद्मासन मुद्रा में एक अन्य मूर्ति प्राप्त हुई
this statue of chandra prabhu bhagawan had come out during the excavations of southern gate	चंद्र प्रभु भगवान की यह मूर्ति मंदिर के दक्षिणी गेट की खुदाई के दौरान निकली थी
installed in the atishay kshetra the outer structure of this temple is extremely grand	अतिशय क्षेत्र में स्थापित इस मंदिर का बाहरी स्वरूप अत्यंत भव्य है
installed in the atishay kshetra the internal decoration of this temple is very alluring	अतिशय क्षेत्र में स्थापित इस मंदिर की आंतरिक सजावट बहुत लुभावनी है
there is so much space in the courtyard of the temple that two thousand people can easily stay present here at a time	मंदिर के प्रांगण में इतनी जगह है कि एक ही बार में यहाँ दो हजार लोग आसानी से मौजूद रह सकते हैं
the train route going to goa is full of small hills and valleys	गोवा जाने का ट्रेन रूट छोटीछोटी पहाड़ियों और घाटियों से भरा पड़ा है
there is a big hall in the tijara	तिजारा में एक बड़ा हॉल है
lead work has been done on both the sides of the tijara hall	तिजारा के हॉल के दोनों ओर दीवारों पर काँच का काम किया गया है
ancient stories have been depicted through the medium of pictures on the walls of the hall in tijara	तिजारा के हॉल की दीवारों पर चित्रों के माध्यम से पौराणिक कथा उकेरी गई है
in the temple of the atishay kshetra a person prays with true heart before this statue	अतिशय क्षेत्र के मंदिर में व्यक्ति इस मूर्ति के सामने सच्चे मन से प्रार्थना करता है
it is believed that all the desires of a person is fulfilled	मान्यता है कि व्यक्ति की सभी इच्छाएँ पूरी होती हैं
people affected with witchcraft also come to tijara to get rid of their problems	जादूटोने से प्रभावित लोग भी अपनी समस्याओं के निवारण के लिए तिजारा आते हैं
an extremely attractive pillar is installed in front of the temple	मंदिर के सामने एक अत्यंत आकर्षक स्तंभ स्थापित है
this is called by the name of manstambh	इसे मानस्तंभ कहकर पुकारा जाता है
statues of deities have been installed on the top of the pillar	स्तंभ के ऊपर भगवान की मूर्तियाँ लगाई गई हैं
the statues of the deities are visible from afar	भगवान की मूर्तियों के दूर से ही दर्शन हो जाते हैं
this is called man stambh	इसे मानस्तंभ कहा जाता है
the pride of a person lessens with mere a view of the man stambh	मानस्तंभ के दर्शन मात्र से ही व्यक्ति का घमंड कम हो जाता है
general custom is that four statues of tirthankar bhagawan is installed on the top of the man stambh	सामान्य रीति यह है कि मानस्तंभ की चोटी पर तीर्थंकर भगवान की चार मूर्तियाँ स्थापित की जाती हैं
special programs are organized twice a year in tijara	तिजारा में वर्ष में दो बार विशेष कार्यक्रमों का आयोजन किया जाता है
once on the seventh day of falgun and the second time on the tenth day of shravan shukla	एक बार फाल्गुन सप्तमी को और दूसरी बार श्रावण शुक्ल दशमी को
dharmashala with rooms has been built in atishay kshetra of tijara for the lodging of devotees	तिजारा के अतिशय क्षेत्र में श्रद्धालुओं के ठहरने के लिए कमरों की धर्मशाला बनाई गई है
tijara was famous with the name of atishay kshetra dehra in ancient times	प्राचीन काल में तिजारा अतिशय क्षेत्र देहरा नाम से प्रसिद्ध था
with the change of time this place came to be known as dehra tijara and now only tijara	कालांतर में यह स्थान देहरातिजारा और अब सिर्फ तिजारा भी कहलाता है
kanker valley national park is situated kilometres south from the district headquarters of bastar	बस्तर के जिला मुख्यालय जगदलपुर से दक्षिण में किलोमीटर की दूरी पर कांकेर घाटी राष्ट्रीय उद्यान स्थित है
kanker valley national park is famous for its waterfalls caves and biodiversity	कांकेर घाटी राष्ट्रीय उद्यान अपने जलप्रपातों गुफाओं एवं जैव विविधता के लिये प्रसिद्ध है
the main tourist places of kanker valley are as follows	कांकेर घाटी के मुख्य पर्यटन स्थल निम्नानुसार हैं
the hypnotic waterfall of tirathgarh located at distance of kilometres from jagdalpur hypnotises the minds of the tourists	जगदलपुर से किलामीटर की दूरी पर स्थित तीरथगढ़ का मनमोहक जलप्रपात पर्यटकों का मन मोह लेता है
tourists lose themselves in its charming beauty	पर्यटक इसकी मोहक छटा में खो जाते हैं
one does not feel like going away from tirathgarh	तीरथगढ़ से वापिस जाने का मन ही नहीं करता
situated on the munagabahar river this waterfall falls feet down from the moon shaped hill on the ladder like natural structures	मुनगाबहार नदी पर स्थित यह जलप्रपात चन्द्राकार रूप से बनी पहाड़ी से फिट नीचे सीढ़ीनुमा प्राकृतिक संरचनाओं पर गिरता है
the milky foam formed with the fall of water and the natural fountain of drops of water wetten the tourists gradually	पानी के गिरने से बना दूधिया झाग एवं पानी की बूँदों का प्राकृतिक फव्वारा पर्यटकों को मन्दमन्द भिगो देता है
having an m tech in geology i tried to know its geological genesis	भूविज्ञान में एमटेक होने के नाते मैने इसकी भूवैज्ञानिक उत्पत्ति जानने का प्रयास किया
i found this	मैनें यह पाया
crores of years ago the rocks of the down side river formed of moonruins due to some earthquake sloped down	करोड़ो वर्ष पहले किसी भूकंप से बने चन्द्रभ्रंस से नदी के डाउन साइड की चट्टाने नीचे धसक गई थीं
and this ladder like valley would have created this charming waterfall	एवं इससे बनी सीढ़ी नुमा घाटी ने इस मनोरम जलप्रपात का सृजन किया होगा
a temple of archaeological importance is located kilometres away from tirathgarh waterfall in chingitarai	तीरथगढ़ जलप्रपात से किलोमीटर की दूरी पर पुरातात्विक महत्व का मंदिर चिंगीतराई में स्थित है
along with tirathgarh chingitarai and chandragiri have historical importance	तीरथगढ़ के साथ चिंगीतराई एवं चन्द्रगिरी ऐतिहासिक महत्व रखते हैं
it is said	ऐसा कहा जाता है
there were two sons of a king of tirathgarh estate	तीरथगढ़ रियासत के किसी राजा के दो पुत्र थे
one was prince chandradeva and the other tirathdev	एक राजकुमार चन्द्रदेव और दूसरा तीरथदेव
prince chandradeva got the area of chandragiri in inheritance	राजकुमार चन्द्रदेव को विरासत में चन्द्रगिरी का क्षेत्र मिला
it was chandradeva after the name of whom this was named as chandragiri	चन्द्रदेव के नाम पर ही इस शहर का नाम पर चन्द्रगिरी पड़ा
whereas his brother got the estate of tirathgarh	वहीं उनके भाई को तीरथगढ़ की जागीर मिली
whose name came to be tirathgarh after his name	जिसका नाम उनके नाम पर तीरथगढ पड़ गया
ruins of archaeological importance are found in chandragiri and chingitarai	चन्द्रगिरी एवं चिंगीतराई में पुरातात्विक महत्व के अवशेष प्राप्त होते हैं
natural caves of world acclaimed kotamsar are located at a distance of kilometres from jagdalpur	जगदलपुर से किलोमीटर की दूरी पर विश्व प्रसिद्ध कोटमसर की प्राकृतिक गुफाएँ स्थित हैं
